id,keyword,location,text,target,text_length,word_count,char_count,avg_word_length,punctuation_count,hashtag_count,uppercase_word_count,url_count
0,ablaze,,communal violence bhainsa telangana stone pelted muslim house house vehicle set ablaze,1,86,12,86,7.166666666666667,0,0,0,0
1,ablaze,,telangana section imposed bhainsa january clash erupted two group january po,1,76,11,76,6.909090909090909,0,0,0,0
2,ablaze,New York City,arsonist set car ablaze dealership,1,34,5,34,6.8,0,0,0,0
4,ablaze,,lord jesus love brings freedom pardon fill holy spirit set heart ablaze l,0,73,13,73,5.615384615384615,0,0,0,0
5,ablaze,OC,child chinese tweet would gone viral social medium would ablaze snl would made racist j,0,87,15,87,5.8,0,0,0,0
6,ablaze,"London, England",several house set ablaze ngemsibaa village oku sub division north west region cameroon,1,86,13,86,6.615384615384615,0,0,0,0
7,ablaze,Bharat,asansol bjp office salanpur village set ablaze last night bjp alleged tmc behind incident police b,1,98,16,98,6.125,0,0,0,0
8,ablaze,"Accra, Ghana",national security minister kan dapaahs side chic set internet ablaze latest powerful video,0,90,13,90,6.923076923076923,0,0,0,0
9,ablaze,Searching,creature who soul longer clarent blue ablaze thing carrying memory memory,0,73,11,73,6.636363636363637,0,0,0,0
10,ablaze,,image showing havoc caused cameroon military torched house okuthe shameless military reported,1,93,12,93,7.75,0,0,0,0
11,ablaze,,social medium went banana chuba hubbard announced monday evening plan return okstate,0,84,12,84,7.0,0,0,0,0
12,ablaze,,hausa youth set area office apapaiganmu local council development area ablaze okada rider stormed lg area office,1,112,17,112,6.588235294117647,0,0,0,0
13,ablaze,HYDERABAD,mamatabanerjee political violence amp vandalism continues unabated west bengal office asanol,1,92,11,92,8.363636363636363,0,0,0,0
14,ablaze,"Reno, NV",amen set whole system ablaze man,0,32,6,32,5.333333333333333,0,0,0,0
15,ablaze,,image showing havoc caused cameroon military torched house okuthe shameless military,1,84,11,84,7.636363636363637,0,0,0,0
16,ablaze,,cow today local factory sadly still ablaze redjanuary,1,53,8,53,6.625,0,0,0,0
17,ablaze,,rengoku set heart ablaze p missed style coloring c,0,50,9,50,5.555555555555555,0,0,0,0
18,ablaze,Worldwide,paulzizkaphoto rundle ablaze wishing good evening,0,49,6,49,8.166666666666666,0,0,0,0
19,ablaze,,french cameroun set house ablaze ndu roasted two young boy home targeted killing genocideinsou,1,94,14,94,6.714285714285714,0,0,0,0
20,ablaze,,cameroon bir soldier invaded southerncameroons village kimar setting ablaze total,1,81,10,81,8.1,0,0,0,0
21,ablaze,,fire ablaze throughout landas prophosized apocalypse come fruitionnot building standingas come st,1,97,12,97,8.083333333333334,0,0,0,0
22,ablaze,Italy,thankfultuesday isaiah pas water pas r,0,38,6,38,6.333333333333333,0,0,0,0
23,ablaze,"` ˗ˏˋ i'm⠀waiting⠀for⠀you⠀to⠀pour⠀my⠀𝘀𝗶𝗻𝘀⠀onto⠀me⠀;⠀call⠀me⠀your⠀𝘭𝘰𝘷𝘦𝘳⠀whispering⠀hymns⠀to⠀my⠀ear⠀,⠀crucify⠀me⠀in⠀claims⠀of⠀praising⠀me .",walk fire scorched flame set ablaze product,0,43,7,43,6.142857142857143,0,0,0,0
24,ablaze,Okielahoma,originally intended fired boarder opposing ship crew gunner shipss riggi,1,72,10,72,7.2,0,0,0,0
25,ablaze,,warm greeting occasion lohri winter pass may everyones woe trouble set ablaze,0,77,12,77,6.416666666666667,0,0,0,0
26,ablaze,,another arson njikomboyonwr ambazombies yesterday set ablaze council building country wo,1,88,11,88,8.0,0,0,0,0
27,ablaze,Havana 3am,another public market haiti mysteriously set ablaze independent merchant overwhelmingly woman become,1,100,12,100,8.333333333333334,0,0,0,0
28,ablaze,,kind true sadly,0,15,3,15,5.0,0,0,0,0
29,ablaze,,swear jam set world ablaze,0,26,5,26,5.2,0,0,0,0
30,ablaze,,marivan kurdistan province monday jan th protester set propaganda banner qassemsoleimani ablaze,1,95,12,95,7.916666666666667,0,0,0,0
32,ablaze,India,turn blind eye icident setting ablaze house h,1,45,8,45,5.625,0,0,0,0
33,ablaze,"Salta, Argentina",love completely crazy youve fucking dream ripped like torn jean dont ev,0,71,12,71,5.916666666666667,0,0,0,0
34,accident,Wherever socks go in the dryer,term demon burning dark ruined people cannot use magic interact without harm ac,0,79,13,79,6.076923076923077,0,0,0,0
35,accident,Kuala Lumpur,heartfelt appreciation prime minister yab tun dr wife yabhg tun dr siti hasmah mohd ali fo,0,90,16,90,5.625,0,0,0,0
36,accident,,watch former cm akhilesh yadav went meet injured kannauj accident hospital chhibramau asks emergency med,1,104,15,104,6.933333333333334,0,0,0,0
37,accident,"Sydney, New South Wales",gave u everything horrible foot infection wore one thong,0,56,9,56,6.222222222222222,0,0,0,0
38,accident,Nigeria,yeah new swag point since accident like totally transformed bob,0,63,10,63,6.3,0,0,0,0
39,accident,"Davanagere, India ",cool day git push origin currentbranchname know,0,47,7,47,6.714285714285714,0,0,0,0
40,accident,"Lyndhurst, OH",preorder newrelease today witness connected investigating thenutcrackerconspiracy died either,1,93,9,93,10.333333333333334,0,0,0,0
41,accident,"Covina, Ca",back neck still fucked accident,0,31,5,31,6.2,0,0,0,0
42,accident,"Colorado, Brighton",rt prince harry confirmed mother princess diana death accident,1,62,9,62,6.888888888888889,0,0,0,0
43,accident,,note democrat muslim ban islam race soleimani terrorist amp exterminated assas,0,78,11,78,7.090909090909091,0,0,0,0
44,accident,"North Carolina, USA",juwan johnsonoregon one big dude look like tight end stuck receiver group accident,0,82,13,82,6.3076923076923075,0,0,0,0
45,accident,kurger bing,appearance man upsidedown face new year eve party air force base man,0,68,12,68,5.666666666666667,0,0,0,0
46,accident,"Faridabad, India",speeding car rammed group people returning attending temple festival ayyappan kavu thum,1,87,12,87,7.25,0,0,0,0
47,accident,60,friend army lost father accident mom right still unconscious please pray mo,1,75,12,75,6.25,0,0,0,0
48,accident,ngovhela Mahunguni,mlindo vocalist another car accident,1,36,5,36,7.2,0,0,0,0
49,accident,,greater treasure highest human quality compassion courage hope even tragic accide,0,81,11,81,7.363636363636363,0,0,0,0
50,accident,Germany,please help friend non fault accident thats resulted vehicle writte,0,67,10,67,6.7,0,0,0,0
51,accident,"South Beach, FL",hurt younger sibling accident,0,29,4,29,7.25,0,0,0,0
52,accident,"London, United Kingdom",david camerons decision hold referendum expressed medium road traffic accident,1,78,10,78,7.8,0,0,0,0
53,accident,"Phoenix, AZ 85017",auto accident injury set process motion get complicated find long take settle,1,77,12,77,6.416666666666667,0,0,0,0
54,accident,"England, UK ",one right call baby accident jd called blessing used loveliest word describe,0,76,12,76,6.333333333333333,0,0,0,0
55,accident,"Melbourne, Australia",actually posted accident twitter decided stay,0,45,6,45,7.5,0,0,0,0
56,accident,"Pearland, TX",question let say happily married husband dy tragic accident deveststed pussy,0,76,11,76,6.909090909090909,0,0,0,0
57,accident,Africa,kampala metropolitan east custody two suspect allegedly strangled death passenger,1,81,10,81,8.1,0,0,0,0
58,accident,"California, USA",completely available public information fire mostly started human purpose accident th,0,85,11,85,7.7272727272727275,0,0,0,0
59,accident,,phd colleague went way bully cause work discomfort,0,50,8,50,6.25,0,0,0,0
60,accident,"Kerala, India",speeding car rammed group people returning attending temple festival ayyappan ka,1,80,11,80,7.2727272727272725,0,0,0,0
61,accident,"Staffordshire,England",yr old bella need new home due incident accident live older kid right ho,0,72,14,72,5.142857142857143,0,0,0,0
62,accident,,look shitshe need little as whooped hit somebody accident lecheminduroi bransoncognac starzge,0,93,12,93,7.75,0,0,0,0
63,accident,"Port Harcourt, Nigeria",youre accident earth youre god divinely crafted masterpiece designed destiny v,0,78,11,78,7.090909090909091,0,0,0,0
64,accident,,iran say shot ukraine international flight accident picture aircraft,1,68,9,68,7.555555555555555,0,0,0,0
65,accident,Everywhere,saw truck container almost falling morning reported,1,51,7,51,7.285714285714286,0,0,0,0
66,accident,"Ann Arbor, MI",judge less smile isnt oldest profession accident lol,0,52,8,52,6.5,0,0,0,0
67,aftershock,Global,puerto rico hit another magnitude aftershock kyma,1,49,7,49,7.0,0,0,0,0
68,aftershock,"Puerto Rico, USA",aftershock asleep movement bed woke scary wish werent,1,53,8,53,6.625,0,0,0,0
69,aftershock,In the mind of haters.,good night friend per usgs new quake morning caused day aftershock forecast change,1,82,13,82,6.3076923076923075,0,0,0,0
70,aftershock,Czech Republic,yea wasnt long killed like second sure would,0,44,8,44,5.5,0,0,0,0
71,aftershock,USA,honored essay aftershock marking th anniversary alvin tofflers future shock compendium essay,0,92,12,92,7.666666666666667,0,0,0,0
72,aftershock,,ticket sale aftershock nowplaying khdradio,0,42,5,42,8.4,0,0,0,0
