keyword,location,text,target,text_length,word_count,char_count,avg_word_length,punctuation_count,uppercase_word_count,hashtag_count,url_count
inundation,Ireland,stormbrendan weather may combine high spring tide coastal flooding inundation wave overtopping,1,94,12,94,7.833333333333333,0,0,0,0
sinkhole,Rio de Janeiro,ltwatchgt six dead four missing sinkhole swallow bus china,1,58,9,58,6.444444444444445,0,0,0,0
evacuation,Republic of the Philippines,local veterinarian take care horse retrieved volcano island horse currently tre,1,79,11,79,7.181818181818182,0,0,0,0
quarantine,Malaysia,influenza outbreak well look quarantine situation persists,1,58,7,58,8.285714285714286,0,0,0,0
inundation,Ireland,stormbrendan risk coastal floodingstorm damage including wave overtopping inundation amp erosion sof,1,100,12,100,8.333333333333334,0,0,0,0
injuries,"Seattle, WA",another picture scene courtesy longoria approximately car involved numerous separate collision,1,94,11,94,8.545454545454545,0,0,0,0
violent%20storm,Unknown,squally shower stormbrendan could bring strong convective gust affecting portion ireland loc,1,92,12,92,7.666666666666667,0,0,0,0
hijacking,"Kolkata, India",dysp davinder singh posted srinagar airport antihijacking unit suspended monday,1,79,10,79,7.9,0,0,0,0
thunderstorm,"Atlanta, GA",weather alert severe thunderstorm warning continues hohenwald cst,1,65,8,65,8.125,0,0,0,0
attack,Larrakia,fightextremism emboldened alshabab threatens strike american target around world day,1,84,10,84,8.4,0,0,0,0
crash,Unknown,badminton king momota face two month fatal car crash,1,52,9,52,5.777777777777778,0,0,0,0
oil%20spill,3rd Rock from the Sun,trump presidency oil spill alaska resulted possib,1,49,7,49,7.0,0,0,0,0
casualties,Unknown,alshabaab fighter attack kenya military base qoqani village somalia lower jubba region overnight fierce exchan,1,110,15,110,7.333333333333333,0,0,0,0
smoke,Sydney,wildfire smoke circle planet return australia nasa say,1,54,8,54,6.75,0,0,0,0
apocalypse,The Heart of America,important notice global warming apocalypse scheduled postponed meme politics,1,76,9,76,8.444444444444445,0,0,0,0
rioting,Jaipur,british tank street bloody rioting calcutta hindu muslim,1,56,8,56,7.0,0,0,0,0
inundation,"London, England",another seawall collapse due wave climate vulnerability time carrickfergus near hometown wave,1,93,12,93,7.75,0,0,0,0
explosion,Dubai,watch enormous sinkhole swallowed bus pedestrian northwest china sparking explosion killing six,1,95,12,95,7.916666666666667,0,0,0,0
trapped,Jammu And Kashmir,border security force last evening avalanche hit bsf deployment naugam sector along loc sea,1,91,14,91,6.5,0,0,0,0
attack,NYC,expels saudi cadet terrorist attack base jihadist literature hijacker,1,69,9,69,7.666666666666667,0,0,0,0
trapped,Wales / Cymru,twit rescue owl trapped log burner,1,34,6,34,5.666666666666667,0,0,0,0
razed,"Cebu, Philippines",fire razed least house densely populated residential area sitio santo nio barangay luz mon,1,90,14,90,6.428571428571429,0,0,0,0
electrocuted,Unknown,police electrocuted falsely arrested giving legal aid anticaa protestors kota lawyer india news http,1,100,14,100,7.142857142857143,0,0,0,0
casualty,NAIROBI,another cabinet reshuffle casualty samson chelgui moved less lucrative labour ministry blow,1,91,12,91,7.583333333333333,0,0,0,0
stretcher,"Pearland, TX",bruh said carried stretcher tht medical bill bout high,1,54,9,54,6.0,0,0,0,0
sinkhole,United Kingdom,china least six dead huge sinkhole swallow bus pedestrian,1,57,9,57,6.333333333333333,0,0,0,0
engulfed,Unknown,air quality worsened chennai monday since morning thick smog engulfed part chennai,1,82,12,82,6.833333333333333,0,0,0,0
cliff%20fall,"Los Angeles, CA",british woman sydney cliff fall click read article bbc,1,54,9,54,6.0,0,0,0,0
nuclear%20disaster,"Washington, DC",fukashima japan nuclear power plant disaster leaking since pacific ocean japanese,1,81,11,81,7.363636363636363,0,0,0,0
flooding,Ballycastle,storm surge storm brendan flooding harbour rathlin island county antrim coast footage dougl,1,91,13,91,7.0,0,0,0,0
buildings%20on%20fire,"Philadelphia, PA",massive fire north jersey consumed least five building forced resident evacuate shut dow,1,88,13,88,6.769230769230769,0,0,0,0
military,South of FRANCE,downing ukrainian plane amp killing innocent people iran call military secret imp,1,81,12,81,6.75,0,0,0,0
crash,"UB, Mongolia",iran say people arrested role ukrainian plane crash,1,51,8,51,6.375,0,0,0,0
razed,Unknown,ministry expected call rfp year reconstructing sentul wet market razed fire duri,1,80,12,80,6.666666666666667,0,0,0,0
accident,"Faridabad, India",speeding car rammed group people returning attending temple festival ayyappan kavu thum,1,87,12,87,7.25,0,0,0,0
buildings%20burning,Unknown,australia burning worst yet come people dead million animal dead koala dead,1,75,12,75,6.25,0,0,0,0
earthquake,"San Juan, PR",minago earthquake hit canas barrio ponce puerto rico ast rspr,1,61,10,61,6.1,0,0,0,0
evacuation,The Love Club / Marikina 1810,petas rescue team taking severely dehydrated dog evacuation zone safe tonight,1,77,11,77,7.0,0,0,0,0
terrorist,UK,today remember stephen oakeqgm gmp stephen murdered terrorist day year old,1,74,11,74,6.7272727272727275,0,0,0,0
crash,Vancouver British Columbia,breaking several people arrested role ukrainian plane crash iran killed,1,71,10,71,7.1,0,0,0,0
injured,Unknown,today honor lithuanian citizen stood amp peacefully resisted soviet military january unarmed,1,92,12,92,7.666666666666667,0,0,0,0
damage,Unknown,yearold white man shoot black apartment manager leg water damage unit,1,69,11,69,6.2727272727272725,0,0,0,0
trouble,Unknown,sorry hear issue broadband service apology,1,42,6,42,7.0,0,0,0,0
snowstorm,Unknown,game minnesota viking seattle seahawks canceled due snowstorm,1,61,8,61,7.625,0,0,0,0
drought,Unknown,wow stanthorpes run water stanthorpe little village outback people ocea,1,71,10,71,7.1,0,0,0,0
forest%20fires,Unknown,terrible news see every day forest fire terrible peopl,1,54,9,54,6.0,0,0,0,0
wild%20fires,"New York, NY ",wild fire,1,9,2,9,4.5,0,0,0,0
blight,Egypt - UAE,tunisian fisherman driven perilous depth mystery sea sponge blight,1,66,9,66,7.333333333333333,0,0,0,0
floods,"Dover, England",water level venice drastically drop two month flood,1,51,8,51,6.375,0,0,0,0
displaced,sudan,people displaced household elgeneina west darfur according latest estimated figure dtm,1,86,11,86,7.818181818181818,0,0,0,0
floods,"Dover, England",water level venice drastically drop two month flood,1,51,8,51,6.375,0,0,0,0
