id,keyword,location,text,target,text_length
0,ablaze,,communal violence bhainsa telangana stone pelted muslim house house vehicle set ablaze,1,86
1,ablaze,,telangana section imposed bhainsa january clash erupted two group january po,1,76
2,ablaze,New York City,arsonist set car ablaze dealership,1,34
4,ablaze,,lord jesus love brings freedom pardon fill holy spirit set heart ablaze l,0,73
5,ablaze,OC,child chinese tweet would gone viral social medium would ablaze snl would made racist j,0,87
6,ablaze,"London, England",several house set ablaze ngemsibaa village oku sub division north west region cameroon,1,86
7,ablaze,Bharat,asansol bjp office salanpur village set ablaze last night bjp alleged tmc behind incident police b,1,98
8,ablaze,"Accra, Ghana",national security minister kan dapaahs side chic set internet ablaze latest powerful video,0,90
9,ablaze,Searching,creature who soul longer clarent blue ablaze thing carrying memory memory,0,73
10,ablaze,,image showing havoc caused cameroon military torched house okuthe shameless military reported,1,93
11,ablaze,,social medium went banana chuba hubbard announced monday evening plan return okstate,0,84
12,ablaze,,hausa youth set area office apapaiganmu local council development area ablaze okada rider stormed lg area office,1,112
13,ablaze,HYDERABAD,mamatabanerjee political violence amp vandalism continues unabated west bengal office asanol,1,92
14,ablaze,"Reno, NV",amen set whole system ablaze man,0,32
15,ablaze,,image showing havoc caused cameroon military torched house okuthe shameless military,1,84
16,ablaze,,cow today local factory sadly still ablaze redjanuary,1,53
17,ablaze,,rengoku set heart ablaze p missed style coloring c,0,50
18,ablaze,Worldwide,paulzizkaphoto rundle ablaze wishing good evening,0,49
19,ablaze,,french cameroun set house ablaze ndu roasted two young boy home targeted killing genocideinsou,1,94
20,ablaze,,cameroon bir soldier invaded southerncameroons village kimar setting ablaze total,1,81
21,ablaze,,fire ablaze throughout landas prophosized apocalypse come fruitionnot building standingas come st,1,97
22,ablaze,Italy,thankfultuesday isaiah pas water pas r,0,38
23,ablaze,"` ˗ˏˋ i'm⠀waiting⠀for⠀you⠀to⠀pour⠀my⠀𝘀𝗶𝗻𝘀⠀onto⠀me⠀;⠀call⠀me⠀your⠀𝘭𝘰𝘷𝘦𝘳⠀whispering⠀hymns⠀to⠀my⠀ear⠀,⠀crucify⠀me⠀in⠀claims⠀of⠀praising⠀me .",walk fire scorched flame set ablaze product,0,43
24,ablaze,Okielahoma,originally intended fired boarder opposing ship crew gunner shipss riggi,1,72
25,ablaze,,warm greeting occasion lohri winter pass may everyones woe trouble set ablaze,0,77
26,ablaze,,another arson njikomboyonwr ambazombies yesterday set ablaze council building country wo,1,88
27,ablaze,Havana 3am,another public market haiti mysteriously set ablaze independent merchant overwhelmingly woman become,1,100
28,ablaze,,kind true sadly,0,15
29,ablaze,,swear jam set world ablaze,0,26
30,ablaze,,marivan kurdistan province monday jan th protester set propaganda banner qassemsoleimani ablaze,1,95
32,ablaze,India,turn blind eye icident setting ablaze house h,1,45
33,ablaze,"Salta, Argentina",love completely crazy youve fucking dream ripped like torn jean dont ev,0,71
34,accident,Wherever socks go in the dryer,term demon burning dark ruined people cannot use magic interact without harm ac,0,79
35,accident,Kuala Lumpur,heartfelt appreciation prime minister yab tun dr wife yabhg tun dr siti hasmah mohd ali fo,0,90
36,accident,,watch former cm akhilesh yadav went meet injured kannauj accident hospital chhibramau asks emergency med,1,104
37,accident,"Sydney, New South Wales",gave u everything horrible foot infection wore one thong,0,56
38,accident,Nigeria,yeah new swag point since accident like totally transformed bob,0,63
39,accident,"Davanagere, India ",cool day git push origin currentbranchname know,0,47
40,accident,"Lyndhurst, OH",preorder newrelease today witness connected investigating thenutcrackerconspiracy died either,1,93
41,accident,"Covina, Ca",back neck still fucked accident,0,31
42,accident,"Colorado, Brighton",rt prince harry confirmed mother princess diana death accident,1,62
43,accident,,note democrat muslim ban islam race soleimani terrorist amp exterminated assas,0,78
44,accident,"North Carolina, USA",juwan johnsonoregon one big dude look like tight end stuck receiver group accident,0,82
45,accident,kurger bing,appearance man upsidedown face new year eve party air force base man,0,68
46,accident,"Faridabad, India",speeding car rammed group people returning attending temple festival ayyappan kavu thum,1,87
47,accident,60,friend army lost father accident mom right still unconscious please pray mo,1,75
48,accident,ngovhela Mahunguni,mlindo vocalist another car accident,1,36
49,accident,,greater treasure highest human quality compassion courage hope even tragic accide,0,81
50,accident,Germany,please help friend non fault accident thats resulted vehicle writte,0,67
51,accident,"South Beach, FL",hurt younger sibling accident,0,29
52,accident,"London, United Kingdom",david camerons decision hold referendum expressed medium road traffic accident,1,78
53,accident,"Phoenix, AZ 85017",auto accident injury set process motion get complicated find long take settle,1,77
54,accident,"England, UK ",one right call baby accident jd called blessing used loveliest word describe,0,76
55,accident,"Melbourne, Australia",actually posted accident twitter decided stay,0,45
56,accident,"Pearland, TX",question let say happily married husband dy tragic accident deveststed pussy,0,76
57,accident,Africa,kampala metropolitan east custody two suspect allegedly strangled death passenger,1,81
58,accident,"California, USA",completely available public information fire mostly started human purpose accident th,0,85
59,accident,,phd colleague went way bully cause work discomfort,0,50
60,accident,"Kerala, India",speeding car rammed group people returning attending temple festival ayyappan ka,1,80
61,accident,"Staffordshire,England",yr old bella need new home due incident accident live older kid right ho,0,72
62,accident,,look shitshe need little as whooped hit somebody accident lecheminduroi bransoncognac starzge,0,93
63,accident,"Port Harcourt, Nigeria",youre accident earth youre god divinely crafted masterpiece designed destiny v,0,78
64,accident,,iran say shot ukraine international flight accident picture aircraft,1,68
65,accident,Everywhere,saw truck container almost falling morning reported,1,51
66,accident,"Ann Arbor, MI",judge less smile isnt oldest profession accident lol,0,52
67,aftershock,Global,puerto rico hit another magnitude aftershock kyma,1,49
68,aftershock,"Puerto Rico, USA",aftershock asleep movement bed woke scary wish werent,1,53
69,aftershock,In the mind of haters.,good night friend per usgs new quake morning caused day aftershock forecast change,1,82
70,aftershock,Czech Republic,yea wasnt long killed like second sure would,0,44
71,aftershock,USA,honored essay aftershock marking th anniversary alvin tofflers future shock compendium essay,0,92
72,aftershock,,ticket sale aftershock nowplaying khdradio,0,42
73,aftershock,"Bay Area, CA",come u aftershock,0,17
74,aftershock,"Great Southwest, U.S.A.",oo think felt aftershock,0,24
75,aftershock,"Katowice, Poland",quick comparison ongoing puerto rico earthquake sequence central california sequenc,1,83
76,aftershock,,puerto ricans refusing go home aside aftershock ground southwest puerto rico,1,76
77,aftershock,Toronto,inception social network easy black swan toy story kid right aftershock,0,71
80,aftershock,"  Philippines ,From America",hard hit,0,8
81,aftershock,Islamabad,musharaf verdict mild aftershock extension one worry come extention,0,67
83,aftershock,"Surabaya, Indonesia",kumera yellow aftershock phfossil featured bankbtn good living magazine photography stylist shino,0,97
85,aftershock,NYC,please pray puertorico,0,22
87,aftershock,"Ковров, Россия",yakovz,0,6
88,aftershock,"Planet Eyal, Shandral System",darkake yeek possessor killed possession aftershock ritches tunnel,1,66
89,aftershock,,check latest video superzero vol closer look closer look superzero vol,0,70
90,aftershock,,might small aftershock didnt feel anything,0,42
91,aftershock,"Brooklyn, NY",stay informed stay engaged whats going puertorico earthquake usgs day aftershock,0,80
92,aftershock,,isnt good feel people puerto rico,0,33
93,aftershock,"Melbourne, Victoria",aftershock vapor pro review aussie aussie aussie powerupau,0,58
94,aftershock,,puerto rico worker explains earthquake aftershock pleading go viral via,0,71
95,aftershock,Piscataway land // DC,unfathomable number lived large earthquake slept table one terrible night,0,73
96,aftershock,DEPRESSED VIBES,nah need calm,0,13
97,aftershock,,thinking spat blood marilyn manson set aftershock,0,49
98,aftershock,,two quake magnitude cannot say one others preshock aftershock one obv,0,69
99,aftershock,,mm aftershock happens within day mm main shock predict say,1,58
100,aftershock,,dont think silivri aftershock silivri month ago quake professor always say nonsen,0,81
101,aftershock,"Bum Fuck, California",think aftershock lyrical beat brent never recovered,0,51
102,aftershock,,apex separating monarch theyre separation well theory mechagod,0,62
104,aftershock,,sending mate simon bar asking guiness ending carlsberg export mint,0,66
105,aftershock,,usgs earthquake expert puertorico installing temporary seismometers help track seismic event including jan,0,106
107,aftershock,"Dream big ,NYC , FL\LA✈️✨💼😎",weekend puerto rico struck aftershock causing damage home school leaving thou,1,77
108,aftershock,DEPRESSED VIBES,could leave gave,0,16
109,aftershock,,full experience start one st series food running low save young governor,0,72
110,aftershock,NYC,magnitude quake puertorico morning caused day aftershock forecast change estimate increased,1,91
111,aftershock,10.28.33N  / 066.57.79W,continue update day aftershock forecast scenario puertorico forecast posted english,0,83
112,aftershock,"Texas, USA",another aftershock hit puerto rico last night people cannot go home even one po,1,79
113,aftershock,"St Augustine, FL",aftershock comic prefer working partnership creator build team ground,0,69
114,aftershock,RVA✈️FLA,earthquakeaftershock mess power,0,31
115,aftershock,PA,aftershock forecast puerto rico,0,31
116,airplane%20accident,"California, USA",like iran shooting airplane accident,1,36
117,airplane%20accident,,bing bong airplane accident remix,0,33
118,airplane%20accident,Inside my head,morgan surprised see shaun back work already offer condolence dad shaun say airplan,0,83
119,airplane%20accident,Australia,thats load rubbish never imminent threat jesus christiran sho,0,61
120,airplane%20accident,"Greenwich, CT",actually blocking internet accident know like iran shot ukrainian airplane,1,74
121,airplane%20accident,"Michigan, USA",conclusion previous page incorrect imho witness observation streak light,0,72
122,airplane%20accident,Iran,celebrity iran sadly compatriot killed downing uk airplanenot di,0,64
123,airplane%20accident,"Virginia, USA",iranian radar cannot tell difference incoming missile going ukrainian airplane,1,78
124,airplane%20accident,West coast True north  i stan juggalos,look timeline see hate coun,0,27
125,airplane%20accident,,military mistake usmilitary shot iranian passenger airplane iranian military shot ukr,1,85
126,airplane%20accident,,secret antispying service middle east high alert demolition commercial airplane u,1,81
127,airplane%20accident,هرجا که دلت باشد,friend live believe basic right know happened,0,45
128,airplane%20accident,,secret antispying service middle east high alert demolition commercial airpl,1,76
129,airplane%20accident,,iran fired surface surface missilesthen fired surface air missile,0,65
130,airplane%20accident,,basically killed general put whole country confusing status shoot civ,0,69
131,airplane%20accident,GOV of Georgia♥️ Janny Cares,referring shooting airplane really,0,34
132,airplane%20accident,"Saskatchewan, Canada",referring shooting airplane,0,27
133,airplane%20accident,Canada,anyone belief incident accident idiot airplane approx fee,0,57
134,airplane%20accident,,anyone belief incident accident idiot airplane approx,0,53
135,airplane%20accident,"Port Charlotte, FL",iran blow airplane accident intended shot accident civilian aircraft,1,68
136,airplane%20accident,artemis,airplane accident,1,17
137,airplane%20accident,,mr u hold ptrump accountable airplane accidentwe r sad toobut pls dont tweet abo,0,80
138,airplane%20accident,Nigeria,dial tollfree phone event wish report fire flood theft armed robbery kidnap,0,75
139,airplane%20accident,"Ilawe-Ekiti, Nigeria",dial tollfree phone event wish report fire flood theft armed robbery k,0,70
